name,population,county
Westfir,257,Lane
Paisley,240,Lake
Rufus,238,Sherman
Lexington,236,Morrow
Waterloo,235,Linn
Detroit,216,Marion
Lostine,209,Wallowa
Sumpter,203,Baker
Elkton,199,Douglas
Seneca,193,Grant
Long Creek,192,Grant
Ukiah,189,Umatilla
Helix,182,Umatilla
Richland,176,Baker
Jordan Valley,174,Malheur
Adrian,172,Malheur
Grass Valley,157,Sherman
Spray,151,Wheeler
Dayville,146,Grant
Barlow,139,Clackamas
Idanha,137,"Marion, Linn"
Summerville,134,Union
Monument,125,Grant
Mitchell,121,Wheeler
Unity,68,Baker
Prescott,49,Columbia
Antelope,47,Wasco
Granite,37,Grant
Shaniko,37,Wasco
Lonerock,21,Gilliam
Greenhorn,2,"Baker, Grant"
